quadrat;Y1;Y2;Y3;burrow;habitat;temp1;temp2;temp3;p1;p2;p3
1;0;2;0;0;dune;21,2;24,8;21,6;April;May;June
2;1;2;5;5;dune;21,7;23,8;23,8;April;May;June
3;0;3;1;1;dune;22,7;22,5;24,2;April;May;June
4;0;1;2;2;dune;23,5;22,4;18,3;April;May;June
5;1;2;2;5;dune;24,2;24,8;20,1;April;May;June
6;1;1;3;10;dune;23,9;26,3;23,9;April;May;June
7;1;2;1;0;dune;15,6;22,4;23,4;April;May;June
8;0;1;1;0;dune;23,3;24,9;21,6;April;May;June
9;0;0;0;0;dune;23,2;26,3;23,8;April;May;June
10;1;1;1;5;dune;18,9;26;27,4;April;May;June
11;0;0;0;0;dune;24,7;24,3;21,9;April;May;June
12;1;1;1;20;dune;25;23,8;24,4;April;May;June
13;0;0;0;0;dune;21,2;23,2;23,9;April;May;June
14;1;0;0;0;dune;19,7;25,2;22,8;April;May;June
15;0;1;0;2;dune;19;24,4;22,6;April;May;June
16;0;1;1;0;dune;18;22,6;25,2;April;May;June
17;0;0;0;0;dune;19,7;22,6;26,1;April;May;June
18;0;0;0;1;dune;23,5;20,2;19,4;April;May;June
19;1;1;0;0;dune;22,5;15,4;19,4;April;May;June
20;1;1;0;10;dune;22,5;18,6;20,9;April;May;June
21;1;1;2;0;dune;22,6;24,1;26,9;April;May;June
22;0;2;2;0;dune;25,1;23,9;28,3;April;May;June
23;0;2;2;0;dune;27,6;24,1;28,3;April;May;June
24;0;1;2;0;dune;27,6;26;26,9;April;May;June
25;0;1;1;0;dune;28,6;26;27,2;April;May;June
26;0;0;1;0;dune;28,2;24,1;27,2;April;May;June
27;0;0;0;0;dune;26,5;24,1;28,2;April;May;June
28;0;0;1;5;dune;15,3;23,2;28,2;April;May;June
29;0;0;0;10;dune;16,4;20,8;27,2;April;May;June
30;0;0;0;0;dune;19,1;23,5;25,4;April;May;June
31;0;0;0;0;dune;19,7;19,8;19,9;April;May;June
32;0;0;0;0;dune;18,3;18,2;21,3;April;May;June
33;0;0;0;0;dune;19;21,3;21,3;April;May;June
34;1;1;1;0;dune;21,2;23,7;19,4;April;May;June
35;1;0;1;4;dune;24,7;22,3;19,4;April;May;June
36;0;0;0;0;dune;20,8;22,6;20,2;April;May;June
37;1;1;0;0;dune;22,5;20,4;19,8;April;May;June
38;0;0;0;0;dune;20,7;23,2;24,1;April;May;June
39;1;0;0;0;dune;21,2;23,3;24,3;April;May;June
40;1;0;0;0;dune;20,8;23,2;24,3;April;May;June
41;0;0;0;0;dune;18,2;17;29,2;April;May;June
42;1;0;0;3;dune;18,2;23,9;30,5;April;May;June
43;1;1;1;0;dune;16,8;19,8;26,9;April;May;June
44;0;0;0;0;dune;16,8;21;29,2;April;May;June
45;0;0;0;1;dune;21,5;24,4;26,2;April;May;June
46;0;1;1;0;clairiere;21,4;24,7;26,2;April;May;June
47;1;1;1;4;clairiere;22,1;23,6;20,1;April;May;June
48;1;1;1;5;clairiere;23,9;23,4;21,4;April;May;June
49;0;0;1;0;clairiere;22,1;18,1;21,4;April;May;June
50;0;2;2;0;clairiere;23,4;19,5;24,3;April;May;June
51;0;1;1;0;clairiere;18,5;23,8;18,3;April;May;June
52;0;1;2;0;clairiere;20;24,8;20,1;April;May;June
53;0;0;1;0;clairiere;20,9;25,7;27,4;April;May;June
54;1;1;0;0;clairiere;18,9;25,5;19,8;April;May;June
55;0;1;0;0;clairiere;21,5;25;20,7;April;May;June
56;1;1;1;0;clairiere;20,8;16,6;16,2;April;May;June
57;0;2;0;15;clairiere;20,7;17,6;18,4;April;May;June
58;0;0;0;0;clairiere;18,9;21,7;23,7;April;May;June
59;0;0;0;0;clairiere;21,5;20,5;21,5;April;May;June
60;0;0;0;0;clairiere;25;16;19,4;April;May;June
61;0;1;0;0;clairiere;26,4;23,5;25,2;April;May;June
62;0;0;0;1;clairiere;25,8;23,2;24,9;April;May;June
63;0;0;0;0;clairiere;25,6;23,6;26,3;April;May;June
64;0;0;0;0;clairiere;25,4;23,5;24,1;April;May;June
65;0;0;0;0;clairiere;24,8;23,6;26,9;April;May;June
66;0;0;0;0;clairiere;27,8;21,8;24,3;April;May;June
67;0;2;0;5;clairiere;23,8;22,6;29,8;April;May;June
68;0;0;0;1;clairiere;20,7;21,8;29,2;April;May;June
69;0;0;0;0;clairiere;18,8;19,5;29,2;April;May;June
70;0;2;1;0;clairiere;16,5;18,1;29,8;April;May;June
